track_name,artist_name,genre_A Capella,genre_Alternative,genre_Anime,genre_Blues,genre_Children's Music,genre_Children’s Music,genre_Classical,genre_Comedy,genre_Country,genre_Dance,genre_Electronic,genre_Folk,genre_Hip-Hop,genre_Indie,genre_Jazz,genre_Movie,genre_Opera,genre_Pop,genre_R&B,genre_Rap,genre_Reggae,genre_Reggaeton,genre_Rock,genre_Ska,genre_Soul,genre_Soundtrack,genre_World,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence,Cluster
Youporn,Mike Baldwin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4363734940259327,1.1935699138199465,-0.6862020402563132,-0.19409099436820276,0.5960878663297159,-0.48981852046524155,3.358972430548063,-0.2871056743594048,-0.7305262124157975,4.39976386842985,-0.9483716770834145,-0.30729578705235705,2
Tell Me That You Love Me,Victorious Cast,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7076724761135146,-0.13969848677856825,0.7307640703703177,-0.6202962439566505,0.8466050361104536,-0.48981852046524155,0.6303997302248155,1.1659991651768693,1.3688762743955096,-0.3954605545561694,0.07370552078554272,0.1925793875149494,15
Outlaw Music,Atlanta Rhythm Section,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1719361270206176,0.8806887458147981,0.1866059822589499,0.5540025938847838,-0.8766494348055285,-0.48598720045666977,-0.6688245352156075,-0.5778600158177873,-0.7305262124157975,-0.4978765438060956,0.5734653792286709,0.4809689113037799,4
IDGAF,Ookay,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06198505162885108,-1.0149201324145911,1.0378631894034662,-0.7358124879466228,0.9604764769198798,-0.0406292780809593,-0.02526468944620544,1.265195743828095,-0.7305262124157975,-0.36042350560224723,1.0458132055450455,-0.01506106961300862,3
Freddie's Dead (Theme from 'Superfly'),Curtis Mayfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6526969384176313,-0.7372733301757884,-0.16898247135837938,0.7932411997870089,0.880766468353281,-0.4884676498760124,-0.30770474715064516,0.541644228960331,1.3688762743955096,-0.22458756196550297,-0.8478501047272202,1.7921799461303296,10
"Jeux d'enfants, Op. 22: L'escarpolette La toupie La poupée Les chevaux de bois Le volant Trompette et tambour Les bulles de savon Les quatre coins Colin-maillard Saute-mouton Petit mari, petite femme Le bal",Georges Bizet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.711251182505349,1.7573197660814748,-0.43836766349272016,8.354724838152375,-1.7648466731190524,2.3869743480399777,-0.1917025805934646,-2.274038152284292,-0.7305262124157975,-0.3663528523482956,0.2342617089565283,-1.3720299088807197,13
Beanni,The Cat Empire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.3368627401082674,0.5424388344578813,-0.8909347862784122,-0.8079607439825753,0.7175507365264372,-0.48938914839531544,0.8825783531752082,0.37059264963905786,1.3688762743955096,-0.27471749354573005,0.9905360498514267,1.415350968379591,10
The Ninth Wave,Blind Guardian,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15791709915468197,-1.0375687827291982,-0.43836766349272016,2.811475365836426,1.2034022173133219,-0.4867534644583841,0.8422297735031453,0.23138400564952266,1.3688762743955096,-0.2288998141444473,0.044416395549755155,-0.8879200282805362,15
"You, Dear",Eloise,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.37781924993821503,1.1118261852420248,0.8546812587521144,-0.40355719907903903,-0.3604322364694634,-0.48981852046524155,0.9077962154702475,0.29807078121337194,-0.7305262124157975,1.041597484077006,-1.5096225166845498,-0.1419524600800942,4
リモコン-V4X ver.-,Wonderful★opportunity!,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4913490317218159,-0.7719439460898724,0.27819694758462576,0.6769514282879692,1.1236922087467236,-0.48981852046524155,-0.683955252592631,0.7987217487589698,1.3688762743955096,0.0012666459067027058,1.5313654109732455,1.4999452286909816,10
Silver Lining,Sons Of The East,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21289263685056523,-0.6470733538139438,0.05191338619177948,0.07858586048577428,-0.3338622336139308,-0.4897927251124252,-0.6925293257729442,0.08784072124833744,-0.7305262124157975,-0.5054229851192481,0.46190779393832865,-0.5649237616370457,8
Lucky,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.6117404285876837,-0.9613638964497458,0.6984378473141974,-0.5460880505324206,1.169240785070494,-0.48981852046524155,-0.7863397735104903,0.143690895783061,-0.7305262124157975,-0.30759841641018,-0.8167486137309857,1.4115057747290738,6
Cosas Bonitas,Fanny Lu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2678681745464485,-0.5766046222812529,0.7846411087971858,-0.28013752184424734,1.146466496908609,-0.48981852046524155,-0.5649269425600456,1.0891426563395332,-0.7305262124157975,-0.35988447407987917,1.043450657321606,1.742192428673599,6
The Other Side,Michael Nyman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.5017893531959172,1.2386699020008685,-1.2788494629518625,-0.1188486282959805,-1.161328036829094,2.608266107155764,0.2622189407172423,-0.4734952120603634,1.3688762743955096,-0.4725420622547981,-0.05652590457225736,-1.5342970809325684,5
Faith,Limp Bizkit,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.8725990892011644,-0.8486139259974402,-0.6808143364136267,-0.7452966078404061,0.7972607450930351,-0.48723898518360825,2.017382156451975,0.4579523256277005,1.3688762743955096,0.8637170816955553,-0.790404582855924,0.976998892220569,14
Only One,James Taylor,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32284371224233177,-0.6442546045526362,0.5852960666177737,0.19459817103047455,-0.758982279302455,-0.48981852046524155,-0.7752439141006732,-0.8444404011342745,-0.7305262124157975,-0.4773933459561103,-0.2655305131608937,0.3310063589335882,4
the WORLD,Nightmare,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8725990892011644,-1.0289293162432902,-0.12588084061688484,-0.05887502262013275,1.2641336524116826,-0.48981852046524155,0.5698768607167211,0.9504341631667268,1.3688762743955096,-0.4251072882864112,-0.7336063344705019,1.1461874128433494,10
Veronica,Caramelos De Cianuro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.11696058932473434,-0.9162639082688238,-0.6754266325709398,0.15260067203273736,0.5087864283758224,-0.48981852046524155,1.649201366944402,-0.13989461730220784,-0.7305262124157975,-0.4579882111508612,1.854872699212949,0.7808940160441635,3
American Guilt,Unknown Mortal Orchestra,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37781924993821503,-0.5709671237586375,-1.4728068012885878,0.3196237586373519,1.3172736581227478,-0.4677223731744265,0.5446589984216818,0.9544353697005576,-0.7305262124157975,1.073939375419088,-0.5893938018178285,-0.36497369181012324,8
Hell on Heels,Pistol Annies,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8725990892011644,-0.5399608818842535,0.5421944358762797,-0.3424989733089554,-0.0909364932204882,-0.4896936722787553,-0.4892733556749278,0.6236689629038658,-0.7305262124157975,-0.4321146980771956,0.47119616846061724,-0.2765342378482153,0
Poor Sucker,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.007009513932967822,1.6812135360261686,-0.7724053017393022,-0.1610731408018136,-0.36802366585675866,0.7157261374043394,-0.5699705150190535,-0.29310748416015114,1.3688762743955096,-0.469846904642958,-1.2169578100467306,-1.4339375266540555,12
Are You Ready to Blast Off?,"Fear, and Loathing in Las Vegas",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9965691924588665,-1.0386889536856416,-0.551509444189143,-1.028138623112454,1.522242251579715,2.476151624101563,-0.0605696966592603,1.1331559282116737,1.3688762743955096,-0.32376936208122103,-0.8132209732329739,-0.9955854504950328,9
Walk Me Home,P!nk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.3569386069900125,-0.8925864144738395,0.5260313243482193,-0.48539977270145623,-0.44773367442335704,-0.48981852046524155,-0.18161543567544888,0.5753210506200751,-0.7305262124157975,-0.41109246870484234,-0.9588898712288633,-0.08811974897284557,0
Norma / Act 2: Scena - Introduzione,Vincenzo Bellini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.7662267202012323,1.7206760256844755,-2.4264303814441535,0.3134271306571052,-2.1273374263623923,2.2581627270621323,-0.6335195280025524,-3.7328113677434933,1.3688762743955096,-0.4116315002272104,-0.9507665889811474,-1.5996653729913701,1
Steps of Deep Slumber,Seven Lions,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10294156145879871,-1.038538432475088,0.05191338619177948,1.2305701112721545,0.9832507650817646,-0.39238408921276857,-0.8226534952153469,0.6500102392515861,1.3688762743955096,-0.3663528523482956,0.27047666049116503,-0.7956353806681102,15
Dreams Via Memories,Ceramic Animal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4327947876340983,0.6016325689453418,-0.2928996597401761,0.4616165039974692,0.7099593071391421,-0.47739975905814663,-0.55483979764203,0.446615573781846,-0.7305262124157975,-0.455293053539021,-0.5730501462995163,0.7078353366843269,6
One to Another,The Charlatans,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22691166471650087,-1.037825288911977,-0.5999987787733246,0.29806588327595085,1.23756364955615,-0.4896847545511492,1.049016244322467,0.8230624218397748,-0.7305262124157975,-0.3879141132430169,-0.4931765981426945,-0.4611035330730666,8
West Side Story: Act II: Somewhere,Leonard Bernstein,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007009513932967822,1.4303448517697879,-1.752967401108302,-0.933524437682717,-1.9235075473135193,-0.4895717966681378,-0.6072929512157116,-1.046668048031647,-0.7305262124157975,-0.44990273831534067,-0.6720506259639071,-1.4458576269706604,7
2/1 - Remastered 2004,Brian Eno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2678681745464485,1.6248385508000158,-2.3456148238038512,2.5147266712165792,-1.879477256867208,2.723866279828189,-0.8337493546251642,-2.396241668505046,-0.7305262124157975,-0.3620406001693513,-0.7472638050224376,-1.6211984574342695,16
真実は告げる 2007,Capcom Sound Team,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3813979563300494,-0.7643333230843418,-0.7616298940539289,-1.4767845783715647,1.0515736295674203,2.2944942099020373,-0.3177918920686609,-0.30044302947217466,1.3688762743955096,-0.41001440566010633,1.562434538295186,-0.9263719647857135,9
Saborealo,Vico C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.6117404285876837,-1.0298031285142955,1.4581040891330372,0.1775889737386983,0.9680679063071744,-0.48981852046524155,-0.6995903272155553,0.722198673799453,1.3688762743955096,0.5456884834984158,-0.47459984909811725,0.3540775208366947,10
